Class,Precision,Recall,F1-Score,Support
not_pregnant,1.0000,0.9714,0.9855,105.0
pregnant,0.9741,1.0000,0.9869,113.0
accuracy,,,,0.9862
macro avg,0.9871,0.9857,0.9862,218.0
weighted avg,0.9866,0.9862,0.9862,218.0
